	https://www.deepl.com/translator machine translated	
Auch Rouget, der jetzt in sein bescheidenes Zimmerchen in der Grande Rue 126 die runde Treppe hinaufgeklettert ist, fühlt sich merkwürdig erregt. Er hat sein Versprechen nicht vergessen, möglichst rasch ein Marschlied, ein Kriegslied für die Rheinarmee zu versuchen. Unruhig stapft er in seinem engen Zimmer auf und nieder. Wie beginnen? Wie beginnen? Noch schwirren ihm alle die anfeuernden Rufe der Proklamationen, der Reden, der Toaste chaotisch durch den Sinn. »Aux armes, citoyens! ... Marchons, enfants de la liberté! ... Ecrasons la tyrannie! ... L'étendard de la guerre est déployé! ...« Aber auch der andern Worte entsinnt er sich, die er im Vorübergehen gehört, die Stimmen der Frauen, die um ihre Söhne zittern, die Sorge der Bauern, Frankreichs Felder könnten zerstampft werden und mit Blut gedüngt von den fremden Kohorten. Halb unbewußt schreibt er die ersten beiden Zeilen hin, die nur Widerhall, Widerklang, Wiederholung sind jener Anrufe.	"Rouget, who has now climbed the circular staircase to his modest little room at 126 Grande Rue, also feels strangely aroused. He has not forgotten his promise to attempt as quickly as possible a marching song, a war song for the Rhine Army. Restlessly he trudges up and down his narrow room. How to begin? How to begin? All the cheering shouts of the proclamations, the speeches, the toasts are still whirring chaotically through his mind. ""Aux armes, citoyens! ... Marchons, enfants de la liberté! ... Ecrasons la tyrannie! ... L'étendard de la guerre est déployé! ..."" But he also remembers the other words he heard in passing, the voices of women trembling for their sons, the concern of the peasants that France's fields might be trampled and fertilized with blood by the foreign cohorts. Half unconsciously, he writes down the first two lines, which are only echoes, reverberations, repetitions of those calls."	0.42
»Allons, enfants de la patrie,	"""Allons, enfants de la patrie,"	
Le jour de gloire est arrivé!«	"Le jour de gloire est arrivé!"""	0.73
Dann hält er inne und stutzt. Das sitzt. Der Ansatz ist gut. Jetzt nur gleich den rechten Rhythmus finden, die Melodie zu den Worten. Er nimmt seine Geige vom Schrank, er probiert. Und wunderbar: gleich in den ersten Takten paßt sich der Rhythmus vollkommen den Worten an. Hastig schreibt er weiter, nun schon getragen, nun schon mitgerissen von der Kraft, die in ihn gefahren ist. Und mit einemmal strömt alles zusammen: alle die Gefühle, die sich in dieser Stunde entladen, alle die Worte, die er auf der Straße, die er bei dem Bankett gehört, der Haß gegen die Tyrannen, die Angst um die Heimaterde, das Vertrauen zum Siege, die Liebe zur Freiheit. Rouget braucht gar nicht zu dichten, zu erfinden, er braucht nur in Reime zu bringen, in den hinreißenden Rhythmus seiner Melodie die Worte zu setzen, die heute, an diesem einzigen Tage, von Mund zu Mund gegangen, und er hat alles ausgesprochen, alles ausgesagt, alles ausgesungen, was die Nation in innerster Seele empfand. Und er braucht nicht zu komponieren, denn durch die verschlossenen Fensterläden dringt der Rhythmus der Straße, der Stunde herein, dieser Rhythmus des Trotzes und der Herausforderung, der in dem Marschtritt der Soldaten, dem Schmettern der Trompeten, dem Rasseln der Kanonen liegt. Vielleicht vernimmt er ihn nicht selbst, nicht sein eigenes waches Ohr, aber der Genius der Stunde, der für diese einzige Nacht Hausung genommen hat in seinem sterblichen Leibe, hat ihn vernommen. Und immer fügsamer gehorcht die Melodie dem hämmernden, dem jubelnden Takt, der Herzschlag eines ganzen Volkes ist. Wie unter fremdem Diktat schreibt hastig und immer hastiger Rouget die Worte, die Noten hin – ein Sturm ist über ihn gekommen, wie er nie seine enge bürgerliche Seele durchbrauste. Eine Exaltation, eine Begeisterung, die nicht die seine ist, sondern magische Gewalt, zusammengeballt in eine einzige explosive Sekunde, reißt den armen Dilettanten hunderttausendfach über sein eigenes Maß hinaus und schleudert ihn wie eine Rakete – eine Sekunde lang Licht und strahlende Flamme – bis zu den Sternen. Eine Nacht ist es dem Kapitänleutnant Rouget de Lisle gegönnt, Bruder der Unsterblichen zu sein: aus den übernommenen, der Straße, den Journalen abgeborgten Rufen des Anfangs formt sich ihm schöpferisches Wort und steigt empor zu einer Strophe, die in ihrer dichterischen Formulierung so unvergänglich ist wie die Melodie unsterblich.	Then he pauses and pauses. It sits. The approach is good. Now just find the right rhythm, the melody to the words. He takes his violin from the cabinet, tries it out. And wonderful: in the very first bars, the rhythm adapts perfectly to the words. Hastily he continues to write, now already carried along, now already carried away by the power that has entered him. And all at once everything flows together: all the feelings that are discharged in this hour, all the words that he heard on the street, that he heard at the banquet, the hatred against the tyrants, the fear for the native soil, the confidence for victory, the love for freedom. Rouget does not even need to write poetry, to invent, he only needs to put into rhyme, into the ravishing rhythm of his melody, the words that today, on this single day, have passed from mouth to mouth, and he has spoken everything, said everything, sung everything that the nation felt in its innermost soul. And he does not need to compose, because through the closed shutters penetrates the rhythm of the street, of the hour, this rhythm of defiance and challenge, which lies in the marching of the soldiers, the blare of the trumpets, the rattle of the cannons. Perhaps he does not hear it himself, not his own alert ear, but the genius of the hour, who has taken up residence in his mortal body for this single night, has heard it. And more and more docilely the melody obeys the hammering, the jubilant beat, which is the heartbeat of a whole people. As if under foreign dictation, Rouget hastily and ever more hastily writes down the words, the notes - a storm has come over him, such as has never raged through his narrow bourgeois soul. An exaltation, an enthusiasm that is not his own, but magical force, concentrated into a single explosive second, sweeps the poor dilettante a hundred thousand times beyond his own measure and hurls him like a rocket - for a second light and radiant flame - to the stars. One night it is granted to Lieutenant-Captain Rouget de Lisle to be brother of the immortals: from the adopted shouts of the beginning, borrowed from the street, from the journals, creative word forms itself to him and rises to a stanza which in its poetic formulation is as immortal as the melody is immortal.	0.46
»Amour sacré de la patrie,	"""Amour sacré de la patrie,"	
Conduis, soutiens nos bras vengeurs,	Conduis, soutiens nos bras vengeurs,	
Liberté, liberté chérie,	Liberté, liberté chérie,	0.31
Combats avec tes défenseurs.«	"Combats avec tes défenseurs."""	1.0
Dann noch eine fünfte Strophe, die letzte, und aus einer Erregung und in einem Guß gestaltet, vollkommen das Wort der Melodie verbindend, ist noch vor dem Morgengrauen das unsterbliche Lied vollendet. Rouget löscht das Licht und wirft sich hin auf sein Bett. Irgend etwas, er weiß nicht was, hat ihn aufgehoben in eine nie gefühlte Helligkeit seiner Sinne, irgend etwas schleudert ihn jetzt nieder in eine dumpfe Erschöpfung. Er schläft einen abgründigen Schlaf, der wie ein Tod ist. Und tatsächlich ist schon wieder der Schöpfer, der Dichter, der Genius in ihm gestorben. Auf dem Tische aber liegt, losgelöst von dem Schlafenden, den dies Wunder wahrhaft im heiligen Rausch überkommen, das vollendete Werk. Kaum ein zweites Mal in der Geschichte aller Völker und Zeiten ist ein Lied so rasch und so vollkommen gleichzeitig Wort und Musik geworden.	Then a fifth stanza, the last, and formed from one excitement and in one cast, perfectly uniting the word of the melody, the immortal song is completed before dawn. Rouget extinguishes the light and lies down on his bed. Something, he does not know what, has lifted him up into a never felt brightness of his senses, something now hurls him down into a dull exhaustion. He sleeps an abysmal sleep, which is like a death. And indeed the creator, the poet, the genius in him has died again. But on the table, detached from the sleeper, whom this miracle truly overcomes in holy intoxication, lies the completed work. Hardly a second time in the history of all peoples and times has a song become word and music so quickly and so perfectly at the same time.	0.43
Dieselben Glocken vom Münster wie immer verkünden den neuen Morgen. Ab und zu trägt der Wind vom Rhein her Schüsse herüber, die ersten Geplänkel haben begonnen. Rouget erwacht. Mit Mühe tastet er sich aus dem Abgrund seines Schlafes empor. Etwas ist geschehen, fühlt er dumpf, etwas mit ihm geschehen, an das er nur dumpf sich erinnert. Dann erst bemerkt er auf dem Tisch das frischbeschriebene Blatt. Verse? Wann habe ich die geschrieben? Musik, in meiner eigenen Handschrift? Wann habe ich das komponiert? Ach ja, das Lied, das Freund Dietrich gestern erbeten, das Marschlied für die Rheinarmee! Rouget liest seine Verse, summt dazu die Melodie, fühlt aber, wie immer der Schöpfer vor dem eben geschaffenen Werk, sich völlig ungewiß. Aber nebenan wohnt ein Regimentskamerad, dem zeigt und singt er es vor. Der Freund scheint zufrieden und schlägt nur einige kleine Änderungen vor. An dieser ersten Zustimmung gewinnt Rouget ein gewisses Zutrauen. Mit der ganzen Ungeduld eines Autors und stolz auf sein rasch erfülltes Versprechen, fällt er gleich dem Bürgermeister Dietrich ins Haus, der im Garten seinen Morgenspaziergang macht und dabei eine neue Rede meditiert. Wie, Rouget? Schon fertig? Nun, da wollen wir gleich eine Probe abhalten. Die beiden gehen aus dem Garten in den Salon des Hauses, Dietrich setzt sich ans Klavier und spielt die Begleitung, Rouget singt den Text. Angelockt von der unerwarteten morgendlichen Musik kommt die Frau des Bürgermeisters ins Zimmer und verspricht, Kopien von dem neuen Lied zu machen und als gelernte Musikerin, die sie ist, gleich die Begleitung auszuarbeiten, damit man schon heute nacht bei der Abendgesellschaft es den Freunden des Hauses zwischen allerhand andern Liedern vorsingen könne. Der Bürgermeister Dietrich, stolz auf seine nette Tenorstimme, übernimmt es, das Lied nun gründlicher zu studieren, und am 26. April, am Abend desselben Tages, in dessen Morgenstunden das Lied gedichtet und komponiert war, wird es zum erstenmal einer zufällig gewählten Gesellschaft im Salon des Bürgermeisters vorgesungen.	The same bells from the minster as always announce the new morning. Now and then the wind carries shots from the Rhine, the first skirmishes have begun. Rouget wakes up. With difficulty he gropes his way up from the abyss of his sleep. Something has happened, he feels dully, something has happened to him that he remembers only dully. Only then does he notice the freshly written page on the table. Verses? When did I write these? Music, in my own handwriting? When did I compose that? Oh yes, the song that friend Dietrich asked for yesterday, the marching song for the Rhine army! Rouget reads his verses, hums the melody to it, but feels, as always the creator before the just created work, completely uncertain. But next door lives a regimental comrade, to whom he shows and sings it. The friend seems satisfied and suggests only a few minor changes. Rouget gains a certain confidence from this first approval. With all the impatience of an author and proud of his quickly fulfilled promise, he immediately falls in with Mayor Dietrich, who is taking his morning walk in the garden, meditating on a new speech. How, Rouget? Already ready? Well, let's have a rehearsal right away. The two walk out of the garden into the parlor of the house, Dietrich sits down at the piano and plays the accompaniment, Rouget sings the text. Attracted by the unexpected morning music, the mayor's wife comes into the room and promises to make copies of the new song and, being a trained musician, to work out the accompaniment right away, so that it can be sung to the friends of the house among all sorts of other songs at the evening party tonight. The mayor Dietrich, proud of his nice tenor voice, took it upon himself to study the song more thoroughly, and on April 26, in the evening of the same day, in the morning hours of which the song was composed, it was sung for the first time to a randomly chosen company in the mayor's salon.	0.5
Die Zuhörer scheinen freundlich applaudiert zu haben, und wahrscheinlich hat es an allerhand höflichen Komplimenten für den anwesenden Autor nicht gefehlt. Aber selbstverständlich hat nicht die leiseste Ahnung die Gäste des Hôtel de Broglie an dem großen Platz von Straßburg überkommen, daß mit unsichtbaren Flügeln eine ewige Melodie sich niedergeschwungen in ihre irdische Gegenwart. Selten begreifen die Zeitgenossen auf den ersten Blick die Größe eines Menschen oder die Größe eines Werkes, und wie wenig sich die Frau Bürgermeisterin jenes erstaunlichen Augenblicks bewußt wurde, beweist sie mit dem Brief an ihren Bruder, in dem sie ein Wunder zu einem gesellschaftlichen Ereignis banalisiert. »Du weißt, daß wir viele Leute im Haus empfangen und man immer etwas erfinden muß, um Abwechslung in die Unterhaltung zu bringen. Und so hat mein Mann die Idee gehabt, irgendein Gelegenheitslied komponieren zu lassen. Der Kapitän vom Ingenieurkorps, Rouget de Lisle, ein liebenswürdiger Dichter und Kompositeur, hat sehr schnell diese Musik eines Kriegsliedes gemacht. Mein Mann, der eine gute Tenorstimme hat, hat das Stück gleich gesungen, das sehr anziehend ist und eine gewisse Eigenart zeigt. Es ist ein besserer Gluck, lebendiger und belebter. Ich für mein Teil habe meine Begabung für Orchestrierung dabei angewandt und arrangierte die Partitur für Klavier und andere Instrumente, so daß ich viel zu arbeiten habe. Das Stück ist bei uns gespielt worden, zur großen Zufriedenheit der ganzen Gesellschaft.«	"The audience seems to have applauded kindly, and probably there was no lack of all kinds of polite compliments for the present author. But, of course, not the slightest inkling came over the guests of the Hôtel de Broglie in the great square of Strasbourg that with invisible wings an eternal melody had swooped down into their earthly presence. Rarely do contemporaries comprehend at first sight the greatness of a man or the greatness of a work, and how little the Lady Mayoress became aware of that amazing moment she proves with the letter to her brother in which she trivializes a miracle into a social event. ""You know that we receive many people in the house and it is always necessary to invent something to bring variety to the entertainment. And so my husband had the idea of having some occasional song composed. The captain of the Corps of Engineers, Rouget de Lisle, a kind poet and composer, very quickly made this music of a war song. My husband, who has a good tenor voice, immediately sang the piece, which is very attractive and shows a certain peculiarity. It is a better Gluck, more lively and animated. For my part, I applied my talent for orchestration to it and arranged the score for piano and other instruments, so I have a lot to work with. The piece has been played in our house, to the great satisfaction of the whole company."""	0.43
